id_profile,skor_phishing,skor_otp,skor_password,skor_marketplace,skor_pinjol,jumlah_salah,rata_waktu_detik,jumlah_bantuan_dibuka,level_awareness
USRTR044,60,59,85,70,89,3,13,2,intermediate
USRTR045,44,56,65,26,62,5,37,2,beginner
USRTR046,75,71,76,69,63,2,42,2,intermediate
USRTR047,67,86,54,30,74,3,23,2,intermediate
USRTR048,89,57,61,33,30,5,31,4,beginner
USRTR049,59,77,97,74,41,5,33,2,intermediate
USRTR050,77,25,65,98,75,4,15,3,intermediate
USRTR051,29,71,66,85,40,4,41,2,intermediate
USRTR052,24,36,28,50,66,6,51,3,beginner
USRTR053,24,97,39,77,67,4,16,2,intermediate
USRTR054,93,37,87,66,70,3,28,3,intermediate
USRTR055,51,34,23,43,83,7,49,3,beginner
USRTR056,35,53,53,77,47,6,44,3,beginner
USRTR057,45,35,37,29,77,5,42,4,beginner
USRTR058,31,60,64,28,90,6,32,3,beginner
USRTR059,40,42,66,85,48,4,21,2,intermediate
USRTR060,50,83,23,66,90,5,41,2,intermediate
USRTR061,90,36,98,31,28,5,43,3,intermediate
USRTR062,87,72,72,93,29,2,15,2,intermediate
USRTR063,77,79,86,64,36,5,48,3,intermediate
USRTR064,43,36,75,84,27,4,22,4,beginner
USRTR065,58,41,40,61,48,6,32,4,beginner
USRTR066,30,52,45,90,55,4,32,4,beginner
USRTR067,98,88,31,84,41,5,20,3,intermediate
USRTR068,41,99,97,63,92,2,15,1,intermediate
USRTR069,25,93,53,46,93,4,13,3,intermediate
USRTR070,83,100,89,57,58,3,35,1,intermediate
USRTR071,58,78,29,27,40,6,44,3,beginner
USRTR072,79,46,63,97,38,4,32,3,intermediate
USRTR073,64,71,36,67,85,5,32,1,intermediate
USRTR074,50,79,35,54,77,4,19,2,intermediate
USRTR075,26,57,69,98,73,3,32,1,intermediate
USRTR076,93,60,44,40,83,5,43,2,intermediate
USRTR077,59,83,22,31,70,6,28,3,beginner
USRTR078,47,94,65,26,26,5,44,3,beginner
USRTR079,56,88,21,33,75,4,36,3,beginner
USRTR080,71,66,25,71,26,6,26,4,beginner
USRTR081,66,90,56,29,69,5,47,2,intermediate
USRTR082,55,99,98,35,36,3,35,2,intermediate
USRTR083,63,91,66,38,45,5,37,3,intermediate
USRTR084,84,25,25,24,37,8,45,4,beginner
USRTR085,86,78,39,97,85,2,30,2,intermediate
USRTR086,40,70,98,58,95,3,43,3,intermediate
USRTR087,88,82,92,58,80,2,31,2,advanced
USRTR088,34,73,94,59,100,2,41,3,intermediate
USRTR089,53,94,93,49,26,5,22,2,intermediate
USRTR090,87,100,99,68,38,4,12,1,intermediate
USRTR091,93,34,44,22,76,5,22,3,beginner
USRTR092,72,46,72,84,98,3,14,3,intermediate
USRTR093,37,86,46,91,61,5,45,2,intermediate
USRTR094,68,60,42,78,88,4,34,3,intermediate
USRTR095,53,98,81,44,51,4,31,3,intermediate
USRTR096,48,58,56,46,82,5,35,3,intermediate
USRTR097,91,55,56,35,93,5,36,3,intermediate
USRTR098,70,64,38,57,25,5,19,4,beginner
USRTR099,64,76,52,81,47,3,29,3,intermediate
USRTR100,91,54,37,33,98,5,27,3,intermediate
USRTR101,51,26,87,48,49,4,39,2,beginner
USRTR102,62,80,32,37,20,7,40,2,beginner
USRTR103,80,81,45,56,61,4,15,3,intermediate
USRTR104,31,93,49,88,24,4,24,3,intermediate
USRTR105,24,70,83,43,57,4,32,2,intermediate
USRTR106,92,97,33,62,56,4,46,3,intermediate
USRTR107,87,83,37,84,79,3,18,1,intermediate
USRTR108,62,40,78,52,43,4,34,4,intermediate
USRTR109,57,92,44,42,98,5,39,2,intermediate
USRTR110,85,61,31,71,32,4,43,2,intermediate
USRTR111,61,51,20,53,69,4,31,3,beginner
USRTR112,62,58,94,93,21,4,35,3,intermediate
USRTR113,50,27,35,79,59,5,46,3,beginner
USRTR114,59,35,57,67,98,3,20,1,intermediate
USRTR115,81,39,78,97,67,3,46,3,intermediate
USRTR116,80,88,47,51,96,2,39,3,intermediate
USRTR117,87,66,29,92,34,3,44,3,intermediate
USRTR118,45,93,88,39,41,4,40,3,intermediate
USRTR119,34,46,94,82,31,6,16,3,intermediate
USRTR120,78,36,85,73,78,5,46,1,intermediate
USRTR121,79,59,22,70,52,4,26,4,intermediate
USRTR122,94,29,25,74,64,6,47,2,intermediate
USRTR123,27,28,80,24,56,6,23,2,beginner
USRTR124,73,67,68,77,68,3,45,1,intermediate
USRTR125,37,64,35,42,88,5,21,4,beginner
USRTR126,48,20,22,58,79,7,48,4,beginner
USRTR127,74,88,68,49,51,4,21,2,intermediate
USRTR128,55,44,34,24,73,7,29,2,beginner
USRTR129,46,28,32,96,24,6,17,4,beginner
USRTR130,51,25,71,76,49,6,16,2,beginner
USRTR131,37,84,57,49,93,4,32,3,intermediate
USRTR132,50,58,38,86,48,5,30,3,intermediate
USRTR133,27,91,95,42,100,4,46,2,intermediate
USRTR134,83,26,64,68,87,4,38,3,intermediate
USRTR135,72,39,58,68,43,6,28,3,intermediate
USRTR136,48,58,38,79,27,7,40,3,beginner
USRTR137,91,87,37,69,51,4,33,1,intermediate
USRTR138,30,77,67,31,88,6,16,2,intermediate
USRTR139,54,68,97,97,25,3,48,1,intermediate
USRTR140,91,47,81,46,62,4,25,1,intermediate
USRTR141,44,35,81,51,97,5,37,1,intermediate
USRTR142,50,90,61,56,68,4,34,3,intermediate
USRTR143,59,53,66,85,83,4,41,1,intermediate
USRTR144,60,46,67,60,72,3,26,3,intermediate
USRTR145,38,22,53,90,94,6,39,4,intermediate
USRTR146,57,39,45,62,49,5,29,4,beginner
USRTR147,83,90,63,52,82,4,42,3,intermediate
USRTR148,78,41,65,41,37,6,44,4,beginner
USRTR149,43,89,27,87,24,4,16,4,beginner
USRTR150,20,72,37,100,49,4,22,4,intermediate
USRTR151,21,47,84,78,67,4,43,4,intermediate
USRTR152,82,22,20,88,90,4,13,1,intermediate
USRTR153,87,55,88,56,22,5,39,3,intermediate
USRTR154,42,33,32,87,39,5,47,2,beginner
USRTR155,52,65,54,70,30,5,42,3,beginner
USRTR156,92,51,48,58,30,6,15,4,intermediate
USRTR157,31,71,68,68,90,4,12,1,intermediate
USRTR158,41,30,83,75,62,6,46,2,intermediate
USRTR159,25,49,47,92,80,5,17,2,intermediate
USRTR160,55,89,92,24,42,4,25,1,intermediate
USRTR161,95,38,70,29,58,4,28,4,intermediate
USRTR162,92,69,89,62,69,4,15,1,intermediate
USRTR163,84,64,26,32,75,4,34,2,intermediate
USRTR164,97,98,96,70,61,1,26,2,advanced
USRTR165,77,82,49,65,90,3,22,2,intermediate
USRTR166,94,68,30,99,57,3,15,3,intermediate
USRTR167,30,54,39,68,39,7,34,3,beginner
USRTR168,66,33,31,20,59,6,32,3,beginner
USRTR169,33,36,31,43,75,6,50,4,beginner
USRTR170,85,72,33,23,31,6,19,4,beginner
USRTR171,96,96,61,69,21,4,35,2,intermediate
USRTR172,30,91,51,93,86,2,35,3,intermediate
USRTR173,41,37,54,58,54,6,18,2,beginner
USRTR174,41,75,55,73,58,4,35,1,intermediate
USRTR175,52,51,100,83,96,4,39,1,intermediate
USRTR176,33,37,58,20,70,6,39,4,beginner
USRTR177,62,76,62,75,96,2,31,2,intermediate
USRTR178,97,45,81,60,42,4,30,2,intermediate
USRTR179,82,93,51,61,68,3,34,2,intermediate
USRTR180,34,92,45,95,89,2,46,3,intermediate
USRTR181,23,79,46,76,57,6,39,2,intermediate
USRTR182,83,37,58,50,52,6,40,2,intermediate
USRTR183,68,29,77,96,81,4,45,2,intermediate
USRTR184,84,73,89,24,66,5,17,3,intermediate
USRTR185,33,51,65,41,98,4,38,4,intermediate
USRTR186,62,75,33,21,32,6,46,2,beginner
USRTR187,86,91,94,93,48,2,35,1,advanced
USRTR188,79,95,84,39,64,2,17,2,intermediate
USRTR189,57,73,30,34,38,6,35,3,beginner
USRTR190,78,46,86,81,64,3,39,1,intermediate
USRTR191,77,60,28,58,25,7,15,2,beginner
USRTR192,63,33,41,51,86,4,23,4,beginner
USRTR193,62,91,74,79,49,3,22,3,intermediate
USRTR194,43,75,70,23,98,3,49,2,intermediate
USRTR195,74,69,20,47,46,5,18,4,beginner
USRTR196,93,33,88,43,66,4,41,1,intermediate
USRTR197,34,53,82,87,60,5,37,2,intermediate
USRTR198,95,34,64,65,78,5,31,1,intermediate
USRTR199,98,95,30,37,60,3,31,1,intermediate
USRTR200,34,43,67,38,85,5,21,3,beginner
USRTR201,93,69,74,43,82,4,22,3,intermediate
USRTR202,91,41,82,56,37,3,40,2,intermediate
USRTR203,99,26,65,21,82,4,37,2,intermediate
USRTR204,91,84,83,72,82,2,38,2,advanced
USRTR205,82,41,30,92,23,4,15,3,beginner
USRTR206,55,48,88,56,41,5,44,4,intermediate
USRTR207,90,85,34,93,34,4,35,3,intermediate
USRTR208,89,25,76,89,47,4,27,1,intermediate
USRTR209,58,24,77,53,64,4,20,3,intermediate
USRTR210,50,46,95,64,98,4,21,2,intermediate
USRTR211,98,37,46,46,27,6,48,3,beginner
USRTR212,55,96,88,41,61,5,29,2,intermediate
USRTR213,93,54,85,32,37,4,29,1,intermediate
USRTR214,36,36,51,38,61,5,39,4,beginner
USRTR215,82,38,93,100,54,4,35,2,intermediate
USRTR216,77,29,31,71,85,6,36,3,intermediate
USRTR217,78,82,61,94,20,5,41,1,intermediate
USRTR218,65,28,88,70,47,5,44,2,intermediate
USRTR219,54,61,56,63,90,5,48,1,intermediate
USRTR220,82,63,26,25,32,7,15,3,beginner
USRTR221,35,40,76,78,20,6,22,2,beginner
USRTR222,58,40,55,31,66,6,37,2,beginner
USRTR223,41,26,70,100,59,6,27,4,intermediate
USRTR224,74,31,32,20,47,6,23,2,beginner
USRTR225,95,48,86,76,21,3,33,3,intermediate
USRTR226,35,74,36,81,29,4,19,3,beginner
USRTR227,33,33,60,67,58,4,22,3,beginner
USRTR228,38,28,87,92,21,6,23,4,beginner
USRTR229,76,64,47,100,39,4,40,3,intermediate
USRTR230,47,31,32,37,35,8,39,5,beginner
USRTR231,64,74,60,37,51,5,18,4,intermediate
USRTR232,51,90,96,96,97,2,10,2,advanced
USRTR233,58,46,86,97,85,2,36,3,intermediate
USRTR234,57,26,50,83,69,4,44,2,intermediate
USRTR235,96,29,87,21,66,5,37,2,intermediate
USRTR236,92,73,66,89,42,3,12,1,intermediate
USRTR237,95,28,21,53,47,5,39,2,beginner
USRTR238,84,56,100,84,73,3,35,3,intermediate
USRTR239,30,88,88,98,39,4,30,1,intermediate
USRTR240,30,85,46,39,88,5,50,3,intermediate
