id_kasus,kanal,kategori,nama_kategori,teks_skenario,label_risiko,level_kesulitan,has_link,has_short_url,has_suspicious_domain,asks_otp_pin_cvv,asks_password,asks_personal_data,has_reward_claim,has_loan_offer,has_urgency,asks_transfer_fee,uses_apk_attachment,outside_official_app,risk_score_rule,indikator_ideal,tindakan_benar,feedback_tutor,basis_sumber
CYB011,Media Sosial,phishing_link,Link Phishing,Akun BNI Anda terblokir sementara. Segera verifikasi data melalui https://s.id/0t0pvn sebelum 1x24 jam.,mencurigakan,sedang,1,1,0,0,0,1,0,0,1,0,0,0,38,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB012,Marketplace Chat,phishing_link,Link Phishing,Update data nasabah Shopee untuk menghindari pembatasan akun: https://bit.ly/4ffyvn,mencurigakan,sedang,1,1,0,0,0,1,0,0,0,0,0,0,30,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB013,Email,phishing_link,Link Phishing,Update data nasabah Tokopedia untuk menghindari pembatasan akun: https://wa.me/4azytj,mencurigakan,sedang,1,1,0,0,0,1,0,0,0,0,0,0,30,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB014,Browser/Website,phishing_link,Link Phishing,Akun BRI Anda terblokir sementara. Segera verifikasi data melalui https://s.id/q85jsg sebelum 1x24 jam.,mencurigakan,sedang,1,1,0,0,0,1,0,0,1,0,0,0,38,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB015,Email,phishing_link,Link Phishing,Akun DANA Anda terblokir sementara. Segera verifikasi data melalui https://jne-resi-apk.com/verifikasi sebelum 1x24 jam.,berbahaya,mudah,1,0,1,0,0,1,0,0,1,0,1,0,71,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB016,WhatsApp,phishing_link,Link Phishing,Terdeteksi aktivitas tidak biasa pada akun BPJS. Login ulang melalui tautan berikut: https://wa.me/7vren9,mencurigakan,sedang,1,1,0,0,1,0,0,0,0,0,0,0,33,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB017,Browser/Website,otp_fraud,Penipuan OTP/PIN/CVV,Petugas BCA: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB018,Media Sosial,otp_fraud,Penipuan OTP/PIN/CVV,Ada transaksi mencurigakan. Sebutkan CVV/PIN untuk proses pemblokiran kartu.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB019,Email,otp_fraud,Penipuan OTP/PIN/CVV,Ada transaksi mencurigakan. Sebutkan CVV/PIN untuk proses pemblokiran kartu.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB020,Media Sosial,otp_fraud,Penipuan OTP/PIN/CVV,"Kami dari layanan GoPay. Untuk validasi hadiah, balas 6 digit OTP dan nomor kartu Anda.",mencurigakan,sedang,0,0,0,1,0,1,1,0,0,0,0,0,47,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB021,WhatsApp,otp_fraud,Penipuan OTP/PIN/CVV,Petugas Shopee: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB022,Media Sosial,otp_fraud,Penipuan OTP/PIN/CVV,Petugas BRI: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB023,WhatsApp,otp_fraud,Penipuan OTP/PIN/CVV,"Kami dari layanan Mandiri. Untuk validasi hadiah, balas 6 digit OTP dan nomor kartu Anda.",mencurigakan,sedang,0,0,0,1,0,1,1,0,0,0,0,0,47,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB024,Marketplace Chat,otp_fraud,Penipuan OTP/PIN/CVV,Petugas BRI: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB025,Marketplace Chat,otp_fraud,Penipuan OTP/PIN/CVV,Petugas PLN: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB026,Browser/Website,otp_fraud,Penipuan OTP/PIN/CVV,Petugas BPJS: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB027,Marketplace Chat,otp_fraud,Penipuan OTP/PIN/CVV,Petugas Tokopedia: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB028,Marketplace Chat,otp_fraud,Penipuan OTP/PIN/CVV,"Kami dari layanan Shopee. Untuk validasi hadiah, balas 6 digit OTP dan nomor kartu Anda.",mencurigakan,sedang,0,0,0,1,0,1,1,0,0,0,0,0,47,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB029,WhatsApp,otp_fraud,Penipuan OTP/PIN/CVV,Petugas PLN: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB030,WhatsApp,otp_fraud,Penipuan OTP/PIN/CVV,Ada transaksi mencurigakan. Sebutkan CVV/PIN untuk proses pemblokiran kartu.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB031,Media Sosial,otp_fraud,Penipuan OTP/PIN/CVV,Petugas BCA: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB032,Media Sosial,otp_fraud,Penipuan OTP/PIN/CVV,Petugas BRI: kirim kode OTP/PIN yang baru masuk agar transaksi gagal bisa dibatalkan.,aman,sulit,0,0,0,1,0,0,0,0,0,0,0,0,25,meminta OTP|meminta PIN/CVV|mengaku petugas|transaksi mencurigakan,Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.,"Kasus ini termasuk Penipuan OTP/PIN/CVV. Perhatikan indikator: meminta OTP, meminta PIN/CVV, mengaku petugas. Jangan bagikan OTP/PIN/CVV; tutup percakapan dan hubungi call center resmi.","Kominfo - OTP, PIN, CVV tidak boleh dibagikan"
CYB033,Browser/Website,pinjol_ilegal,Pinjol Ilegal,"Pinjaman cepat bunga ringan. Jika tidak bayar, kontak keluarga akan dihubungi otomatis.",mencurigakan,mudah,0,0,0,1,0,1,0,1,0,1,0,0,64,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB034,Browser/Website,pinjol_ilegal,Pinjol Ilegal,"Dana cair 5 menit tanpa BI checking. Klik https://shopee-promo11.com/claim, cukup KTP dan akses kontak untuk verifikasi.",mencurigakan,sedang,1,0,1,0,0,1,0,1,0,0,0,0,50,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB035,Media Sosial,pinjol_ilegal,Pinjol Ilegal,"Pinjaman cepat bunga ringan. Jika tidak bayar, kontak keluarga akan dihubungi otomatis.",mencurigakan,mudah,0,0,0,1,0,1,0,1,0,1,0,0,64,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB036,Email,pinjol_ilegal,Pinjol Ilegal,Limit pinjaman Rp10 juta sudah aktif. Instal aplikasi kami dan izinkan akses kontak/galeri.,mencurigakan,sedang,0,0,0,1,0,1,0,1,1,0,0,0,57,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB037,Email,pinjol_ilegal,Pinjol Ilegal,"Pinjaman cepat bunga ringan. Jika tidak bayar, kontak keluarga akan dihubungi otomatis.",mencurigakan,mudah,0,0,0,1,0,1,0,1,0,1,0,0,64,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB038,Browser/Website,pinjol_ilegal,Pinjol Ilegal,"Pinjaman cepat bunga ringan. Jika tidak bayar, kontak keluarga akan dihubungi otomatis.",mencurigakan,mudah,0,0,0,1,0,1,0,1,0,1,0,0,64,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB039,SMS,pinjol_ilegal,Pinjol Ilegal,"Dana cair 5 menit tanpa BI checking. Klik https://bca-helpdesk.net/claim, cukup KTP dan akses kontak untuk verifikasi.",mencurigakan,sedang,1,0,1,0,0,1,0,1,0,0,0,0,50,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB040,WhatsApp,pinjol_ilegal,Pinjol Ilegal,Limit pinjaman Rp10 juta sudah aktif. Instal aplikasi kami dan izinkan akses kontak/galeri.,mencurigakan,sedang,0,0,0,1,0,1,0,1,1,0,0,0,57,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB041,Email,pinjol_ilegal,Pinjol Ilegal,"Pinjaman cepat bunga ringan. Jika tidak bayar, kontak keluarga akan dihubungi otomatis.",mencurigakan,mudah,0,0,0,1,0,1,0,1,0,1,0,0,64,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
CYB042,Browser/Website,pinjol_ilegal,Pinjol Ilegal,"Dana cair 5 menit tanpa BI checking. Klik https://s.id/wj0tpa, cukup KTP dan akses kontak untuk verifikasi.",mencurigakan,sedang,1,1,0,0,0,1,0,1,0,0,0,0,42,penawaran via SMS/WA|akses kontak/galeri|ancaman debt collector|tanpa cek legalitas,Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.,"Kasus ini termasuk Pinjol Ilegal. Perhatikan indikator: penawaran via SMS/WA, akses kontak/galeri, ancaman debt collector. Jangan instal aplikasi; cek legalitas di OJK/Kontak 157 sebelum meminjam.",OJK - waspada pinjol melalui SMS/WhatsApp dan cek legalitas OJK
